2021-03-16 00:02:52.677 [INFO] : BUY - Waited 21300 iterations for 70,203,000, curr_price:65,444,000, diff:4,759,000
2021-03-16 00:08:27.848 [INFO] : BUY - Waited 21600 iterations for 70,203,000, curr_price:65,464,000, diff:4,739,000
2021-03-16 00:14:05.440 [INFO] : BUY - Waited 21900 iterations for 70,203,000, curr_price:65,636,000, diff:4,567,000
2021-03-16 00:19:40.695 [INFO] : BUY - Waited 22200 iterations for 70,203,000, curr_price:65,583,000, diff:4,620,000
2021-03-16 00:25:16.504 [INFO] : BUY - Waited 22500 iterations for 70,203,000, curr_price:65,576,000, diff:4,627,000
2021-03-16 00:30:52.037 [INFO] : BUY - Waited 22800 iterations for 70,203,000, curr_price:65,380,000, diff:4,823,000
2021-03-16 00:36:27.105 [INFO] : BUY - Waited 23100 iterations for 70,203,000, curr_price:65,227,000, diff:4,976,000
2021-03-16 00:42:03.337 [INFO] : BUY - Waited 23400 iterations for 70,203,000, curr_price:65,086,000, diff:5,117,000
2021-03-16 00:47:38.648 [INFO] : BUY - Waited 23700 iterations for 70,203,000, curr_price:65,344,000, diff:4,859,000
2021-03-16 00:53:14.104 [INFO] : BUY - Waited 24000 iterations for 70,203,000, curr_price:64,985,000, diff:5,218,000
2021-03-16 00:58:49.663 [INFO] : BUY - Waited 24300 iterations for 70,203,000, curr_price:65,171,000, diff:5,032,000
2021-03-16 01:04:47.650 [INFO] : BUY - Waited 24600 iterations for 70,203,000, curr_price:64,631,000, diff:5,572,000
